名称,分类
迎春（按：本吕为木兰的干燥花蕾）,木部
降真香【,木部
紫藤香,木部
鸡骨香,木部
楠,木部
樟,木部
钓樟,木部
乌樟,木部
枕,木部
豫,木部
枫香脂,木部
白胶香,木部
熏陆香,木部
马尾香,木部
天泽香,木部
摩勒香,木部
多伽罗香,木部
没药,木部
末药,木部
骐竭,木部
血竭,木部
安息香,木部
龙脑香,木部
片脑,木部
羯婆罗香,木部
膏名婆律香（按：即现在通称的冰片）,木部
樟脑,木部
韶脑,木部
芦荟,木部
奴会,木部
讷会,木部
象胆,木部
乌木,木部
乌木,木部
乌文木,木部
苏方木,木部
苏木,木部
芜荑,木部
荑,木部
无姑,木部
木名,木部
榆,木部
零榆,木部
白者名粉,木部
榆叶,木部
白杨,木部
独摇,木部
水杨,木部
青杨,木部
蒲柳,木部
蒲杨,木部
蒲多,木部
多柳,木部
蕉苻,木部
树柳,木部
赤柽,木部
赤杨,木部
河柳,木部
雨师,木部
垂丝柳,木部
人柳,木部
三眠柳,木部
观音柳,木部
柳,木部
小杨,木部
杨柳,木部
柳华,木部
柳叶,木部
枝及根白皮,木部
榉,木部
榉柳,木部
换柳,木部
诃黎勒,木部
诃子,木部
无患子,木部
桓,木部
木患子,木部
噤娄,木部
肥珠子,木部
油珠子,木部
菩提子,木部
鬼见愁,木部
子皮,木部
子中仁,木部
肥筇荚,木部
皂荚,木部
皂角,木部
鸡栖子,木部
乌犀,木部
悬刀,木部
木皮,木部
根皮,木部
皂角子,木部
皂角刺,木部
合欢,木部
合昏,木部
夜合,木部
青裳,木部
萌葛,木部
乌赖树,木部
秦皮,木部
石檀,木部
盆桂,木部
苦树,木部
苦枥,木部
槐,木部
木皮,木部
根白皮,木部
槐叶,木部
槐枝,木部
槐花,木部
槐实,木部
楝,木部
苦楝,木部
实名金铃子,木部
根及木皮,木部
海桐,木部
刺桐,木部
罂子桐,木部
虎子桐,木部
荏桐,木部
油桐,木部
梧桐,木部
榇,木部
楸,木部
漆,木部
椿樗,木部
香者名椿,木部
臭者名樗,木部
山樗名栲,木部
虎目树,木部
大眼桐,木部
杜仲,木部
思仲,木部
思仙,木部
木棉,木部
厚朴,木部
烈朴,木部
赤朴,木部
厚皮,木部
树名榛,木部
子名逐折,木部
小蘖,木部
子蘖,木部
山石榴,木部
檀,木部
蘖木,木部
蘖,木部
根名檀（俗作黄柏）,木部
桦木,木部
棕榈,木部
榈,木部
笋及子花,木部
皮,木部
乌臼木,木部
鸦臼（通称乌桕）,木部
巴豆,木部
名巴菽,木部
刚子,木部
老陽子,木部
大风子,木部
阿魏,木部
阿虞,木部
熏渠,木部
哈昔尼,木部
相思子,木部
红豆,木部
桑,木部
桑柴灰,木部
桑枝,木部
桑叶,木部
桑椹,木部
桑根白皮,木部
柘,木部
楮,木部
构,木部
构桑,木部
皮间白汁,木部
楮实,木部
楮叶,木部
树白皮,木部
枸橘,木部
臭橘,木部
栀子,木部
木丹,木部
越桃,木部
鲜支,木部
酸枣,木部
山枣,木部
白棘,木部
棘刺,木部
棘针,木部
赤龙爪,木部
花名刺原,木部
蕤核,木部
白,木部
山茱萸,木部
蜀酸枣,木部
肉枣,木部
鸡足,木部
鼠矢,木部
胡颓子,木部
卢都子,木部
蒲颓子,木部
雀我酥,木部
半含春,木部
黄婆奶,木部
金樱子,木部
刺梨子,木部
山石榴,木部
山鸡头子,木部
郁李,木部
车下李,木部
爵李,木部
雀梅,木部
常棣,木部
鼠李,木部
楮李,木部
鼠梓,木部
山李子,木部
牛李,木部
皂李,木部
赵李,木部
牛皂子,木部
乌槎子,木部
乌巢,木部
女贞,木部
贞女,木部
冬青,木部
蜡树,木部
冬青,木部
冻青,木部
枸骨,木部
猫儿刺,木部
卫矛,木部
鬼箭,木部
神箭,木部
南烛,木部
南天烛,木部
南烛草木,木部
男续,木部
当染菽,木部
猴菽草,木部
草木之王,木部
惟那木,木部
牛筋,木部
乌饭草,木部
墨饭草,木部
杨桐,木部
赤者名文烛,木部
五加,木部
五佳,木部
五花,木部
